status,time_days,at_risk,events,survival,ci_low,ci_high
NMR,60,116867,380,0.6465841719991543,0.6443934195412526,0.6487653665483922
NMR,61,116408,413,0.6442901779176853,0.642096050958638,0.6464748209165727
NMR,62,115916,448,0.6418000816435978,0.6396023480971285,0.643988411532314
NMR,63,115387,435,0.6393805453395518,0.6371793633813108,0.6415724017009108
NMR,64,114869,399,0.6371596429412504,0.6349553434210172,0.639354688542686
NMR,65,114399,403,0.6349150836697066,0.6327076804765571,0.6371133054190743
NMR,66,113914,386,0.6327636604706574,0.6305533255466289,0.634964883442069
NMR,67,113452,389,0.6305940639547467,0.6283808155837375,0.6327982704793356
NMR,68,112994,375,0.6285012734173463,0.6262852560880308,0.6307083165567056
NMR,69,112554,376,0.6264016902945349,0.6241829359385145,0.6286115383713453
NMR,70,112096,369,0.6243396878705528,0.6221182836763245,0.6265522525030458
NMR,71,111648,347,0.6223992512152515,0.6201753878528751,0.6246143378211463
NMR,72,111233,360,0.6203848873984212,0.618158507286403,0.6226025559816082
NMR,73,110800,397,0.6181620281899629,0.6159329133771844,0.6203825034888695
NMR,74,110328,317,0.616385893727848,0.6141546253091122,0.618608580199128
NMR,75,109948,332,0.6145246491693508,0.61229115432083,0.6167496224224827
NMR,76,109515,330,0.6126729107387624,0.6104372285985723,0.6149001313329647
NMR,77,109122,339,0.610769572120148,0.6085316738260457,0.6129990706228632
NMR,78,108714,312,0.6090167150226123,0.6067768038890899,0.6112482832616287
NMR,79,108328,336,0.6071277332612248,0.6048856826199337,0.6093615023474569
NMR,80,107914,348,0.6051698737511064,0.6029256379789211,0.6074058915716282
NMR,81,107505,331,0.6033066001525611,0.6010603167340085,0.6055447261868195
NMR,82,107107,290,0.6016731036113057,0.5994250497829595,0.6039130531776
NMR,83,106743,299,0.5999877447776606,0.5977378876957895,0.6022295524247214
NMR,84,106383,316,0.5982055415370137,0.5959538046620246,0.6004492869853904
NMR,85,105989,303,0.5964953991723747,0.5942418833357,0.598740979266057
NMR,86,105627,284,0.5948915981237323,0.5926364370921697,0.5971388756603054
NMR,87,105266,308,0.5931509923039794,0.5908940696523683,0.5954000881857696
NMR,88,104886,257,0.5916976066755626,0.589439232223861,0.5939482017398229
NMR,89,104555,294,0.5900338020142588,0.5877737866262241,0.5922860922754527
NMR,90,104173,274,0.5884818714588184,0.5862203448545855,0.5907357235608419
